,feat,p,stat
122,wavelet-LHL_glrlm_RunLengthNonUniformity,0.4192772438676494,0.333669010295075
214,wavelet-LLH_glrlm_GrayLevelNonUniformity,0.41987166165211076,0.3204405667730556
209,wavelet-LHL_glcm_JointEnergy,0.4226418626616989,0.2928162769102261
387,wavelet-HLL_glcm_SumSquares,0.42526059854775344,0.3557633941733974
181,wavelet-HLL_glcm_DifferenceVariance,0.4270530552775079,0.5756542845404282
60,wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.42757921621029915,-0.42540147803919853
152,wavelet-LLH_gldm_GrayLevelVariance,0.4284163049882309,0.629904183245979
245,wavelet-LLH_glszm_SmallAreaEmphasis,0.4285166234984884,0.3861264507549948
357,wavelet-LHH_glcm_InverseVariance,0.4293387752891996,-0.32814894225064456
292,wavelet-LHH_ngtdm_Contrast,0.4298141666028914,-0.2918522494293682
255,wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.43239805380964735,0.39011422207857493
327,wavelet-LHH_gldm_LowGrayLevelEmphasis,0.4325611884133387,-0.3534869826905729
167,wavelet-LLL_glcm_Correlation,0.43316349400181675,0.37516322519721423
128,wavelet-LHL_gldm_GrayLevelVariance,0.4333415479826215,-0.39184127223763654
127,wavelet-LHL_glcm_JointEntropy,0.4343796953313197,-0.3299171067610163
445,wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.43530535226124656,-0.3852625416896913
557,wavelet-HLH_glszm_ZonePercentage,0.438829850983535,-1.0488138243343232
525,wavelet-LLH_ngtdm_Coarseness,0.44155692026898496,-0.45910686834502124
86,wavelet-LLH_glrlm_GrayLevelVariance,0.44210551633914275,0.5830558837513717
403,wavelet-LLH_glszm_ZonePercentage,0.4446175469128971,-1.8172232047970254
324,wavelet-HLL_glcm_InverseVariance,0.4455185544740595,-0.4401760221595358
169,wavelet-LHL_glszm_GrayLevelNonUniformity,0.44603252500930046,0.2994365797140185
516,wavelet-LHL_gldm_DependenceVariance,0.4462840961041942,0.47059151038316904
219,wavelet-LLL_ngtdm_Coarseness,0.45174207791292653,-0.4085996095312819
341,wavelet-LHL_gldm_GrayLevelNonUniformity,0.4541939433405714,0.2758990066733065
175,wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.4548910026194133,-0.5464868913951627
194,wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.45505577341487913,-0.3747042502093121
228,wavelet-HHH_glszm_GrayLevelVariance,0.45936927479700607,-1.267671331424519
496,wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.4598468611632318,-0.3006463554765328
67,wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.46189019467762493,-0.4192875748038948
114,wavelet-LHL_glcm_Autocorrelation,0.4622619783358387,0.38527125785055866
201,wavelet-HLH_gldm_SmallDependenceEmphasis,0.46370249578046296,-0.7405993367193613
279,wavelet-LHL_glcm_SumSquares,0.4646139416788634,-0.3653505473848613
321,wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.46549690243430897,0.31403950700615585
200,wavelet-HHL_glrlm_GrayLevelNonUniformity,0.4683575848669269,0.24856350775292377
588,wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.47016181147713587,-0.41305128420029674
210,wavelet-LLH_glcm_MaximumProbability,0.47034834262063463,-0.4611080219445316
374,wavelet-LHL_gldm_HighGrayLevelEmphasis,0.4717434637087018,0.3769200241154831
485,wavelet-LHL_glcm_MCC,0.47252762155606565,-0.3808941107194511
386,wavelet-HHH_glrlm_RunLengthNonUniformity,0.47297995055438125,0.28262884052471116
306,wavelet-LHL_glszm_SizeZoneNonUniformity,0.4736512111446918,0.3299560712274927
61,wavelet-HHL_glszm_SmallAreaEmphasis,0.47550841904787455,0.38392814586290114
47,wavelet-HLL_glcm_JointEntropy,0.4756486502829531,0.3263026310495108
492,wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.47638050938251963,0.3710849736222597
72,wavelet-LHL_glrlm_GrayLevelNonUniformity,0.4765609558588064,0.2573773480614027
536,wavelet-HHL_gldm_GrayLevelNonUniformity,0.47783845753116816,0.24053196865401172
498,wavelet-LLH_glcm_DifferenceAverage,0.47829920374165225,0.32911367320242446
120,wavelet-LLH_glcm_Idm,0.48066456456560913,-0.3279174293937006
459,wavelet-LLL_glcm_Imc2,0.4811670414380256,0.3842273098335342
141,wavelet-LLH_glcm_Id,0.48207081681865127,-0.3272254785933881
597,wavelet-HHH_ngtdm_Coarseness,0.48236720471928296,-0.41065984684258716
541,wavelet-LLL_glcm_Imc1,0.48284246477095094,-0.35364517429748166
358,wavelet-HLH_glrlm_RunLengthNonUniformity,0.4847301266952534,0.2776353624849654
463,wavelet-LHL_glcm_ClusterShade,0.4849408985263507,-0.8133851505160347
18,wavelet-HHL_glrlm_RunEntropy,0.48586421408280256,-0.32758416388917616
